title,authors,genre,description,image_url,rating
The Kite Runner,Khaled Hosseini,Thriller,A compelling Thriller novel by Khaled Hosseini. 'The Kite Runner' has captivated readers with its engaging narrative and deep character development. Rated 4.26 stars on Goodreads.,https://images.gr-assets.com/books/1484565687m/77203.jpg,4.26
Divergent,Veronica Roth,Mystery,A compelling Mystery novel by Veronica Roth. 'Divergent' has captivated readers with its engaging narrative and deep character development. Rated 4.24 stars on Goodreads.,https://images.gr-assets.com/books/1328559506m/13335037.jpg,4.24
Nineteen Eighty-Four,"George Orwell, Erich Fromm, Celâl Üster",Thriller,"A compelling Thriller novel by George Orwell, Erich Fromm, Celâl Üster. 'Nineteen Eighty-Four' has captivated readers with its engaging narrative and deep character development. Rated 4.14 stars on Goodreads.",https://images.gr-assets.com/books/1348990566m/5470.jpg,4.14
Animal Farm: A Fairy Story,George Orwell,Biography,A compelling Biography novel by George Orwell. 'Animal Farm: A Fairy Story' has captivated readers with its engaging narrative and deep character development. Rated 3.87 stars on Goodreads.,https://images.gr-assets.com/books/1424037542m/7613.jpg,3.87
Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Mystery,"A compelling Mystery novel by Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday. 'Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944' has captivated readers with its engaging narrative and deep character development. Rated 4.1 stars on Goodreads.",https://images.gr-assets.com/books/1358276407m/48855.jpg,4.1
Män som hatar kvinnor,"Stieg Larsson, Reg Keeland",Biography,"A compelling Biography novel by Stieg Larsson, Reg Keeland. 'Män som hatar kvinnor' has captivated readers with its engaging narrative and deep character development. Rated 4.11 stars on Goodreads.",https://images.gr-assets.com/books/1327868566m/2429135.jpg,4.11
Catching Fire,Suzanne Collins,Romance,A compelling Romance novel by Suzanne Collins. 'Catching Fire' has captivated readers with its engaging narrative and deep character development. Rated 4.3 stars on Goodreads.,https://images.gr-assets.com/books/1358273780m/6148028.jpg,4.3
Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPré, Rufus Beck",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré, Rufus Beck. 'Harry Potter and the Prisoner of Azkaban' has captivated readers with its engaging narrative and deep character development. Rated 4.53 stars on Goodreads.",https://images.gr-assets.com/books/1499277281m/5.jpg,4.53
The Fellowship of the Ring,J.R.R. Tolkien,Science Fiction,A compelling Science Fiction novel by J.R.R. Tolkien. 'The Fellowship of the Ring' has captivated readers with its engaging narrative and deep character development. Rated 4.34 stars on Goodreads.,https://images.gr-assets.com/books/1298411339m/34.jpg,4.34
Mockingjay,Suzanne Collins,Business,A compelling Business novel by Suzanne Collins. 'Mockingjay' has captivated readers with its engaging narrative and deep character development. Rated 4.03 stars on Goodreads.,https://images.gr-assets.com/books/1358275419m/7260188.jpg,4.03
Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPré",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré. 'Harry Potter and the Order of the Phoenix' has captivated readers with its engaging narrative and deep character development. Rated 4.46 stars on Goodreads.",https://images.gr-assets.com/books/1387141547m/2.jpg,4.46
The Lovely Bones,Alice Sebold,Fantasy,A compelling Fantasy novel by Alice Sebold. 'The Lovely Bones' has captivated readers with its engaging narrative and deep character development. Rated 3.77 stars on Goodreads.,https://images.gr-assets.com/books/1457810586m/12232938.jpg,3.77
Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPré",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré. 'Harry Potter and the Chamber of Secrets' has captivated readers with its engaging narrative and deep character development. Rated 4.37 stars on Goodreads.",https://images.gr-assets.com/books/1474169725m/15881.jpg,4.37
Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPré",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré. 'Harry Potter and the Goblet of Fire' has captivated readers with its engaging narrative and deep character development. Rated 4.53 stars on Goodreads.",https://images.gr-assets.com/books/1361482611m/6.jpg,4.53
Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPré",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré. 'Harry Potter and the Deathly Hallows' has captivated readers with its engaging narrative and deep character development. Rated 4.61 stars on Goodreads.",https://images.gr-assets.com/books/1474171184m/136251.jpg,4.61
The Da Vinci Code,Dan Brown,History,A compelling History novel by Dan Brown. 'The Da Vinci Code' has captivated readers with its engaging narrative and deep character development. Rated 3.79 stars on Goodreads.,https://images.gr-assets.com/books/1303252999m/968.jpg,3.79
Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPré",Fantasy,"A compelling Fantasy novel by J.K. Rowling, Mary GrandPré. 'Harry Potter and the Half-Blood Prince' has captivated readers with its engaging narrative and deep character development. Rated 4.54 stars on Goodreads.",https://images.gr-assets.com/books/1361039191m/1.jpg,4.54
Lord of the Flies,William Golding,Science Fiction,A compelling Science Fiction novel by William Golding. 'Lord of the Flies' has captivated readers with its engaging narrative and deep character development. Rated 3.64 stars on Goodreads.,https://images.gr-assets.com/books/1327869409m/7624.jpg,3.64
An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",Mystery,"A compelling Mystery novel by William Shakespeare, Robert           Jackson. 'An Excellent conceited Tragedie of Romeo and Juliet' has captivated readers with its engaging narrative and deep character development. Rated 3.73 stars on Goodreads.",https://images.gr-assets.com/books/1327872146m/18135.jpg,3.73
Gone Girl,Gillian Flynn,Biography,A compelling Biography novel by Gillian Flynn. 'Gone Girl' has captivated readers with its engaging narrative and deep character development. Rated 4.03 stars on Goodreads.,https://images.gr-assets.com/books/1339602131m/8442457.jpg,4.03
The Help,Kathryn Stockett,Romance,A compelling Romance novel by Kathryn Stockett. 'The Help' has captivated readers with its engaging narrative and deep character development. Rated 4.45 stars on Goodreads.,https://images.gr-assets.com/books/1346100365m/4667024.jpg,4.45
Of Mice and Men,John Steinbeck,Mystery,A compelling Mystery novel by John Steinbeck. 'Of Mice and Men' has captivated readers with its engaging narrative and deep character development. Rated 3.84 stars on Goodreads.,https://images.gr-assets.com/books/1437235233m/890.jpg,3.84
Memoirs of a Geisha,Arthur Golden,Thriller,A compelling Thriller novel by Arthur Golden. 'Memoirs of a Geisha' has captivated readers with its engaging narrative and deep character development. Rated 4.08 stars on Goodreads.,https://placehold.co/400x600?text=No+Cover,4.08
Fifty Shades of Grey,E.L. James,Romance,A compelling Romance novel by E.L. James. 'Fifty Shades of Grey' has captivated readers with its engaging narrative and deep character development. Rated 3.67 stars on Goodreads.,https://images.gr-assets.com/books/1385207843m/10818853.jpg,3.67
O Alquimista,"Paulo Coelho, Alan R. Clarke",Thriller,"A compelling Thriller novel by Paulo Coelho, Alan R. Clarke. 'O Alquimista' has captivated readers with its engaging narrative and deep character development. Rated 3.82 stars on Goodreads.",https://images.gr-assets.com/books/1483412266m/865.jpg,3.82
The Giver,Lois Lowry,Thriller,A compelling Thriller novel by Lois Lowry. 'The Giver' has captivated readers with its engaging narrative and deep character development. Rated 4.12 stars on Goodreads.,https://images.gr-assets.com/books/1342493368m/3636.jpg,4.12
"The Lion, the Witch and the Wardrobe",C.S. Lewis,Fantasy,"A compelling Fantasy novel by C.S. Lewis. 'The Lion, the Witch and the Wardrobe' has captivated readers with its engaging narrative and deep character development. Rated 4.19 stars on Goodreads.",https://images.gr-assets.com/books/1353029077m/100915.jpg,4.19
The Time Traveler's Wife,Audrey Niffenegger,Thriller,A compelling Thriller novel by Audrey Niffenegger. 'The Time Traveler's Wife' has captivated readers with its engaging narrative and deep character development. Rated 3.95 stars on Goodreads.,https://images.gr-assets.com/books/1437728815m/14050.jpg,3.95
A Game of Thrones,George R.R. Martin,Science Fiction,A compelling Science Fiction novel by George R.R. Martin. 'A Game of Thrones' has captivated readers with its engaging narrative and deep character development. Rated 4.45 stars on Goodreads.,https://images.gr-assets.com/books/1436732693m/13496.jpg,4.45
"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,Mystery,"A compelling Mystery novel by Elizabeth Gilbert. 'Eat, pray, love: one woman's search for everything across Italy, India and Indonesia' has captivated readers with its engaging narrative and deep character development. Rated 3.51 stars on Goodreads.",https://images.gr-assets.com/books/1503066414m/19501.jpg,3.51
The Lightning Thief,Rick Riordan,Thriller,A compelling Thriller novel by Rick Riordan. 'The Lightning Thief' has captivated readers with its engaging narrative and deep character development. Rated 4.23 stars on Goodreads.,https://images.gr-assets.com/books/1400602609m/28187.jpg,4.23
Little Women,Louisa May Alcott,Fiction,A compelling Fiction novel by Louisa May Alcott. 'Little Women' has captivated readers with its engaging narrative and deep character development. Rated 4.04 stars on Goodreads.,https://placehold.co/400x600?text=No+Cover,4.04
Jane Eyre,"Charlotte Brontë, Michael Mason",Fantasy,"A compelling Fantasy novel by Charlotte Brontë, Michael Mason. 'Jane Eyre' has captivated readers with its engaging narrative and deep character development. Rated 4.1 stars on Goodreads.",https://images.gr-assets.com/books/1327867269m/10210.jpg,4.1
The Notebook,Nicholas Sparks,Business,A compelling Business novel by Nicholas Sparks. 'The Notebook' has captivated readers with its engaging narrative and deep character development. Rated 4.06 stars on Goodreads.,https://images.gr-assets.com/books/1385738917m/15931.jpg,4.06
Life of Pi,Yann Martel,Biography,A compelling Biography novel by Yann Martel. 'Life of Pi' has captivated readers with its engaging narrative and deep character development. Rated 3.88 stars on Goodreads.,https://images.gr-assets.com/books/1320562005m/4214.jpg,3.88
Water for Elephants,Sara Gruen,History,A compelling History novel by Sara Gruen. 'Water for Elephants' has captivated readers with its engaging narrative and deep character development. Rated 4.07 stars on Goodreads.,https://images.gr-assets.com/books/1494428973m/43641.jpg,4.07
The Book Thief,Markus Zusak,Thriller,A compelling Thriller novel by Markus Zusak. 'The Book Thief' has captivated readers with its engaging narrative and deep character development. Rated 4.36 stars on Goodreads.,https://images.gr-assets.com/books/1390053681m/19063.jpg,4.36
Fahrenheit 451,Ray Bradbury,Fantasy,A compelling Fantasy novel by Ray Bradbury. 'Fahrenheit 451' has captivated readers with its engaging narrative and deep character development. Rated 3.97 stars on Goodreads.,https://images.gr-assets.com/books/1351643740m/4381.jpg,3.97
New Moon,Stephenie Meyer,Business,A compelling Business novel by Stephenie Meyer. 'New Moon' has captivated readers with its engaging narrative and deep character development. Rated 3.52 stars on Goodreads.,https://images.gr-assets.com/books/1361039440m/49041.jpg,3.52
Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,History,A compelling History novel by Shel Silverstein. 'Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein' has captivated readers with its engaging narrative and deep character development. Rated 4.29 stars on Goodreads.,https://images.gr-assets.com/books/1168052448m/30119.jpg,4.29
City of Bones,Cassandra Clare,Fantasy,A compelling Fantasy novel by Cassandra Clare. 'City of Bones' has captivated readers with its engaging narrative and deep character development. Rated 4.12 stars on Goodreads.,https://images.gr-assets.com/books/1432730315m/256683.jpg,4.12
Eclipse,Stephenie Meyer,Fantasy,A compelling Fantasy novel by Stephenie Meyer. 'Eclipse' has captivated readers with its engaging narrative and deep character development. Rated 3.69 stars on Goodreads.,https://images.gr-assets.com/books/1361038355m/428263.jpg,3.69
Eragon,Christopher Paolini,Business,A compelling Business novel by Christopher Paolini. 'Eragon' has captivated readers with its engaging narrative and deep character development. Rated 3.86 stars on Goodreads.,https://images.gr-assets.com/books/1366212852m/113436.jpg,3.86
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Romance,A compelling Romance novel by Douglas Adams. 'The Hitchhiker's Guide to the Galaxy' has captivated readers with its engaging narrative and deep character development. Rated 4.2 stars on Goodreads.,https://images.gr-assets.com/books/1327656754m/11.jpg,4.2
Brave New World,Aldous Huxley,Thriller,A compelling Thriller novel by Aldous Huxley. 'Brave New World' has captivated readers with its engaging narrative and deep character development. Rated 3.97 stars on Goodreads.,https://images.gr-assets.com/books/1487389574m/5129.jpg,3.97
Breaking Dawn,Stephenie Meyer,Biography,A compelling Biography novel by Stephenie Meyer. 'Breaking Dawn' has captivated readers with its engaging narrative and deep character development. Rated 3.7 stars on Goodreads.,https://images.gr-assets.com/books/1361039438m/1162543.jpg,3.7
The Secret Life of Bees,Sue Monk Kidd,Science Fiction,A compelling Science Fiction novel by Sue Monk Kidd. 'The Secret Life of Bees' has captivated readers with its engaging narrative and deep character development. Rated 4.01 stars on Goodreads.,https://images.gr-assets.com/books/1473454532m/37435.jpg,4.01
The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",Romance,"A compelling Romance novel by Mark Twain, John Seelye, Guy Cardwell. 'The Adventures of Huckleberry Finn' has captivated readers with its engaging narrative and deep character development. Rated 3.8 stars on Goodreads.",https://images.gr-assets.com/books/1405973850m/2956.jpg,3.8
Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",Fantasy,"A compelling Fantasy novel by E.B. White, Garth Williams, Rosemary Wells. 'Charlotte's Web' has captivated readers with its engaging narrative and deep character development. Rated 4.15 stars on Goodreads.",https://images.gr-assets.com/books/1439632243m/24178.jpg,4.15
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Romance,A compelling Romance novel by Mark Haddon. 'The Curious Incident of the Dog in the Night-Time' has captivated readers with its engaging narrative and deep character development. Rated 3.85 stars on Goodreads.,https://images.gr-assets.com/books/1479863624m/1618.jpg,3.85
The Girl on the Train,Paula Hawkins,Fiction,A compelling Fiction novel by Paula Hawkins. 'The Girl on the Train' has captivated readers with its engaging narrative and deep character development. Rated 3.88 stars on Goodreads.,https://images.gr-assets.com/books/1490903702m/22557272.jpg,3.88
Northern Lights,Philip Pullman,Mystery,A compelling Mystery novel by Philip Pullman. 'Northern Lights' has captivated readers with its engaging narrative and deep character development. Rated 3.94 stars on Goodreads.,https://images.gr-assets.com/books/1451271747m/119322.jpg,3.94
Wuthering Heights,"Emily Brontë, Richard J. Dunn",Fantasy,"A compelling Fantasy novel by Emily Brontë, Richard J. Dunn. 'Wuthering Heights' has captivated readers with its engaging narrative and deep character development. Rated 3.82 stars on Goodreads.",https://placehold.co/400x600?text=No+Cover,3.82
My Sister's Keeper,Jodi Picoult,Thriller,A compelling Thriller novel by Jodi Picoult. 'My Sister's Keeper' has captivated readers with its engaging narrative and deep character development. Rated 4.06 stars on Goodreads.,https://images.gr-assets.com/books/1369504683m/10917.jpg,4.06
"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death",Kurt Vonnegut Jr.,Mystery,"A compelling Mystery novel by Kurt Vonnegut Jr.. 'Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death' has captivated readers with its engaging narrative and deep character development. Rated 4.06 stars on Goodreads.",https://images.gr-assets.com/books/1440319389m/4981.jpg,4.06
Gone with the Wind,Margaret Mitchell,History,A compelling History novel by Margaret Mitchell. 'Gone with the Wind' has captivated readers with its engaging narrative and deep character development. Rated 4.28 stars on Goodreads.,https://images.gr-assets.com/books/1328025229m/18405.jpg,4.28
A Thousand Splendid Suns,Khaled Hosseini,Fiction,A compelling Fiction novel by Khaled Hosseini. 'A Thousand Splendid Suns' has captivated readers with its engaging narrative and deep character development. Rated 4.34 stars on Goodreads.,https://images.gr-assets.com/books/1345958969m/128029.jpg,4.34
The Perks of Being a Wallflower,Stephen Chbosky,Science Fiction,A compelling Science Fiction novel by Stephen Chbosky. 'The Perks of Being a Wallflower' has captivated readers with its engaging narrative and deep character development. Rated 4.21 stars on Goodreads.,https://images.gr-assets.com/books/1167352178m/22628.jpg,4.21
Insurgent,Veronica Roth,Biography,A compelling Biography novel by Veronica Roth. 'Insurgent' has captivated readers with its engaging narrative and deep character development. Rated 4.07 stars on Goodreads.,https://images.gr-assets.com/books/1325667729m/11735983.jpg,4.07
Ender's Game,Orson Scott Card,Business,A compelling Business novel by Orson Scott Card. 'Ender's Game' has captivated readers with its engaging narrative and deep character development. Rated 4.3 stars on Goodreads.,https://images.gr-assets.com/books/1408303130m/375802.jpg,4.3
"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Science Fiction,"A compelling Science Fiction novel by Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle. 'Frankenstein; or, The Modern Prometheus' has captivated readers with its engaging narrative and deep character development. Rated 3.75 stars on Goodreads.",https://images.gr-assets.com/books/1381512375m/18490.jpg,3.75
The Shining,Stephen King,Mystery,A compelling Mystery novel by Stephen King. 'The Shining' has captivated readers with its engaging narrative and deep character development. Rated 4.17 stars on Goodreads.,https://images.gr-assets.com/books/1353277730m/11588.jpg,4.17
The Host,Stephenie Meyer,Thriller,A compelling Thriller novel by Stephenie Meyer. 'The Host' has captivated readers with its engaging narrative and deep character development. Rated 3.84 stars on Goodreads.,https://images.gr-assets.com/books/1318009171m/1656001.jpg,3.84
Looking for Alaska,John Green,Thriller,A compelling Thriller novel by John Green. 'Looking for Alaska' has captivated readers with its engaging narrative and deep character development. Rated 4.09 stars on Goodreads.,https://images.gr-assets.com/books/1394798630m/99561.jpg,4.09
,Helen Fielding,History,A compelling History novel by Helen Fielding. '' has captivated readers with its engaging narrative and deep character development. Rated 3.75 stars on Goodreads.,https://images.gr-assets.com/books/1292060045m/227443.jpg,3.75
Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",Mystery,"A compelling Mystery novel by Jane Austen, Tony Tanner, Ros Ballaster. 'Sense and Sensibility' has captivated readers with its engaging narrative and deep character development. Rated 4.06 stars on Goodreads.",https://images.gr-assets.com/books/1397245675m/14935.jpg,4.06
Holes,"Louis Sachar, Louis Sachar",Science Fiction,"A compelling Science Fiction novel by Louis Sachar, Louis Sachar. 'Holes' has captivated readers with its engaging narrative and deep character development. Rated 3.93 stars on Goodreads.",https://images.gr-assets.com/books/1327781893m/38709.jpg,3.93
The Devil Wears Prada,Lauren Weisberger,History,A compelling History novel by Lauren Weisberger. 'The Devil Wears Prada' has captivated readers with its engaging narrative and deep character development. Rated 3.7 stars on Goodreads.,https://placehold.co/400x600?text=No+Cover,3.7
Ὀδύσσεια,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",Romance,"A compelling Romance novel by Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox. 'Ὀδύσσεια' has captivated readers with its engaging narrative and deep character development. Rated 3.73 stars on Goodreads.",https://images.gr-assets.com/books/1390173285m/1381.jpg,3.73
Le Petit Prince,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",Mystery,"A compelling Mystery novel by Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta. 'Le Petit Prince' has captivated readers with its engaging narrative and deep character development. Rated 4.28 stars on Goodreads.",https://images.gr-assets.com/books/1367545443m/157993.jpg,4.28
The Glass Castle,Jeannette Walls,History,A compelling History novel by Jeannette Walls. 'The Glass Castle' has captivated readers with its engaging narrative and deep character development. Rated 4.24 stars on Goodreads.,https://images.gr-assets.com/books/1400930557m/7445.jpg,4.24
Into the Wild,Jon Krakauer,History,A compelling History novel by Jon Krakauer. 'Into the Wild' has captivated readers with its engaging narrative and deep character development. Rated 3.94 stars on Goodreads.,https://images.gr-assets.com/books/1403173986m/1845.jpg,3.94
A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",Mystery,"A compelling Mystery novel by Charles Dickens, Richard Maxwell, Hablot Knight Browne. 'A Tale of Two Cities' has captivated readers with its engaging narrative and deep character development. Rated 3.81 stars on Goodreads.",https://images.gr-assets.com/books/1344922523m/1953.jpg,3.81
Jurassic Park,Michael Crichton,Romance,A compelling Romance novel by Michael Crichton. 'Jurassic Park' has captivated readers with its engaging narrative and deep character development. Rated 3.96 stars on Goodreads.,https://placehold.co/400x600?text=No+Cover,3.96
The Giving Tree,Shel Silverstein,Mystery,A compelling Mystery novel by Shel Silverstein. 'The Giving Tree' has captivated readers with its engaging narrative and deep character development. Rated 4.38 stars on Goodreads.,https://images.gr-assets.com/books/1174210942m/370493.jpg,4.38
A Time to Kill,John Grisham,Fantasy,A compelling Fantasy novel by John Grisham. 'A Time to Kill' has captivated readers with its engaging narrative and deep character development. Rated 4.03 stars on Goodreads.,https://placehold.co/400x600?text=No+Cover,4.03
Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",Romance,"A compelling Romance novel by Elie Wiesel, Marion Wiesel. 'Un di Velt Hot Geshvign' has captivated readers with its engaging narrative and deep character development. Rated 4.3 stars on Goodreads.",https://images.gr-assets.com/books/1473495285m/1617.jpg,4.3
Paper Towns,John Green,Fiction,A compelling Fiction novel by John Green. 'Paper Towns' has captivated readers with its engaging narrative and deep character development. Rated 3.88 stars on Goodreads.,https://images.gr-assets.com/books/1349013610m/6442769.jpg,3.88
The Princess Bride,William Goldman,Fiction,A compelling Fiction novel by William Goldman. 'The Princess Bride' has captivated readers with its engaging narrative and deep character development. Rated 4.25 stars on Goodreads.,https://images.gr-assets.com/books/1327903636m/21787.jpg,4.25
The Outsiders,S.E. Hinton,Fantasy,A compelling Fantasy novel by S.E. Hinton. 'The Outsiders' has captivated readers with its engaging narrative and deep character development. Rated 4.06 stars on Goodreads.,https://images.gr-assets.com/books/1442129426m/231804.jpg,4.06
The Maze Runner,James Dashner,Business,A compelling Business novel by James Dashner. 'The Maze Runner' has captivated readers with its engaging narrative and deep character development. Rated 4.02 stars on Goodreads.,https://images.gr-assets.com/books/1375596592m/6186357.jpg,4.02
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",Biography,"A compelling Biography novel by Steven D. Levitt, Stephen J. Dubner. 'Freakonomics: A Rogue Economist Explores the Hidden Side of Everything' has captivated readers with its engaging narrative and deep character development. Rated 3.93 stars on Goodreads.",https://images.gr-assets.com/books/1327909092m/1202.jpg,3.93
The Secret Garden,Frances Hodgson Burnett,Mystery,A compelling Mystery novel by Frances Hodgson Burnett. 'The Secret Garden' has captivated readers with its engaging narrative and deep character development. Rated 4.12 stars on Goodreads.,https://images.gr-assets.com/books/1327873635m/2998.jpg,4.12
Cien años de soledad,"Gabriel García Márquez, Gregory Rabassa",Fantasy,"A compelling Fantasy novel by Gabriel García Márquez, Gregory Rabassa. 'Cien años de soledad' has captivated readers with its engaging narrative and deep character development. Rated 4.04 stars on Goodreads.",https://images.gr-assets.com/books/1327881361m/320.jpg,4.04
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",Fantasy,"A compelling Fantasy novel by Oscar Wilde, Jeffrey Eugenides. 'The Picture of Dorian Gray' has captivated readers with its engaging narrative and deep character development. Rated 4.06 stars on Goodreads.",https://images.gr-assets.com/books/1424596966m/5297.jpg,4.06
Fifty Shades Freed,E.L. James,Science Fiction,A compelling Science Fiction novel by E.L. James. 'Fifty Shades Freed' has captivated readers with its engaging narrative and deep character development. Rated 3.88 stars on Goodreads.,https://images.gr-assets.com/books/1336418837m/13536860.jpg,3.88
Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",Thriller,"A compelling Thriller novel by Bram Stoker, Nina Auerbach, David J. Skal. 'Dracula' has captivated readers with its engaging narrative and deep character development. Rated 3.98 stars on Goodreads.",https://images.gr-assets.com/books/1387151694m/17245.jpg,3.98
Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",History,"A compelling History novel by Stieg Larsson, Reg Keeland. 'Flickan som lekte med elden' has captivated readers with its engaging narrative and deep character development. Rated 4.22 stars on Goodreads.",https://images.gr-assets.com/books/1351778881m/5060378.jpg,4.22
Fifty Shades Darker,E.L. James,Biography,A compelling Biography novel by E.L. James. 'Fifty Shades Darker' has captivated readers with its engaging narrative and deep character development. Rated 3.87 stars on Goodreads.,https://images.gr-assets.com/books/1358266080m/11857408.jpg,3.87
The Poisonwood Bible,Barbara Kingsolver,Romance,A compelling Romance novel by Barbara Kingsolver. 'The Poisonwood Bible' has captivated readers with its engaging narrative and deep character development. Rated 4.02 stars on Goodreads.,https://images.gr-assets.com/books/1412242487m/7244.jpg,4.02
Me Talk Pretty One Day,David Sedaris,Fantasy,A compelling Fantasy novel by David Sedaris. 'Me Talk Pretty One Day' has captivated readers with its engaging narrative and deep character development. Rated 3.97 stars on Goodreads.,https://placehold.co/400x600?text=No+Cover,3.97
Where the Wild Things Are,Maurice Sendak,Romance,A compelling Romance novel by Maurice Sendak. 'Where the Wild Things Are' has captivated readers with its engaging narrative and deep character development. Rated 4.22 stars on Goodreads.,https://images.gr-assets.com/books/1384434560m/19543.jpg,4.22
Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",Science Fiction,"A compelling Science Fiction novel by Alexandre Dumas, Robin Buss. 'Le Comte de Monte-Cristo' has captivated readers with its engaging narrative and deep character development. Rated 4.21 stars on Goodreads.",https://images.gr-assets.com/books/1309203605m/7126.jpg,4.21
The Road,Cormac McCarthy,Business,A compelling Business novel by Cormac McCarthy. 'The Road' has captivated readers with its engaging narrative and deep character development. Rated 3.95 stars on Goodreads.,https://images.gr-assets.com/books/1439197219m/6288.jpg,3.95
